venue,handicap_factor,difficulty_pct,overall_median
London Excel 2025,0.8432346513014107,-15.676534869858926,4244.0
Bordeaux 2025,0.9134710908007153,-8.652890919928469,4597.5
Dublin 2025,0.9217166699781443,-7.828333002185572,4639.0
Valencia 2025,0.965030796741506,-3.4969203258493953,4857.0
Frankfurt 2025,0.9906616332207431,-0.9338366779256924,4986.0
Maastricht 2025,1.0,0.0,5033.0
Utrecht 2025,1.0004967216371945,0.04967216371944971,5035.5
Chicago 2025,1.039042320683489,3.9042320683488896,5229.5
Atlanta 2025,1.0673554540035763,6.735545400357634,5372.0
Anaheim 2025,1.0714285714285714,7.14285714285714,5392.5
